plan_id,project_id__hashed,plan_created_at,event_type,event_timestamp,plan_name,network_provider_id,price_currency,plan_price_amount_local,data_allowance_mb,is_unlimited_data,voice_allowance_seconds,is_unlimited_voice,sms_allowance,is_unlimited_sms,validity_value,validity_unit,_valid_from,_valid_to,_is_current_state
pln_afbfdccab94c7b2a1cc510e34640,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-24 13:21:34,plan.archived,2025-03-24 13:21:53.062337,Unlimited Plan,p11,USD,1.000000000,,true,,true,,true,30,day,2025-03-24 13:21:53.062337,,true
pln_9127a74e8d609bcaf5cb6572ba68,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-24 13:21:52,plan.updated,2025-03-24 21:06:00.132501,Ultra Unlimited,p11,USD,1.000000000,,true,,true,,true,30,month,2025-03-24 21:06:00.132501,2025-03-25 13:29:04.303541,false
pln_9127a74e8d609bcaf5cb6572ba68,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-24 13:21:52,plan.updated,2025-03-24 13:21:53.757098,Unlimited Plan,p11,USD,1.000000000,,true,,true,,true,30,month,2025-03-24 13:21:53.757098,2025-03-24 13:22:27.073937,false
pln_9127a74e8d609bcaf5cb6572ba68,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-24 13:21:52,plan.created,2025-03-24 13:21:52.902182,Unlimited Plan,p11,USD,1.000000000,,true,,true,,true,30,month,2025-03-24 13:21:52,2025-03-24 13:21:53.757098,false
pln_9127a74e8d609bcaf5cb6572ba68,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-24 13:21:52,plan.updated,2025-03-25 13:29:04.303541,Ultra Unlimited,p11,USD,1.000000000,,true,,true,,true,30,month,2025-03-25 13:29:04.303541,2025-03-25 13:29:04.335124,false
pln_9127a74e8d609bcaf5cb6572ba68,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-24 13:21:52,plan.archived,2025-03-25 13:29:04.335124,Ultra Unlimited,p11,USD,1.000000000,,true,,true,,true,30,month,2025-03-25 13:29:04.335124,,true
pln_9127a74e8d609bcaf5cb6572ba68,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-24 13:21:52,plan.published,2025-03-24 13:22:27.107181,Unlimited Plan,p11,USD,1.000000000,,true,,true,,true,30,month,2025-03-24 13:22:27.107181,2025-03-24 19:28:16.163533,false
pln_9127a74e8d609bcaf5cb6572ba68,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-24 13:21:52,plan.updated,2025-03-24 13:22:27.073937,Unlimited Plan,p11,USD,1.000000000,,true,,true,,true,30,month,2025-03-24 13:22:27.073937,2025-03-24 13:22:27.107181,false
pln_9127a74e8d609bcaf5cb6572ba68,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-24 13:21:52,plan.updated,2025-03-24 19:28:16.163533,Unlimited Ultra,p11,USD,1.000000000,,true,,true,,true,30,month,2025-03-24 19:28:16.163533,2025-03-24 21:06:00.132501,false
pln_0f3429cb59fecbf9342935885a80,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-25 13:29:04,plan.updated,2025-03-25 18:07:47.793196,Ultra Unlimited,p11,USD,1.000000000,,true,,true,,true,1,month,2025-03-25 18:07:47.793196,2025-03-25 18:07:47.824119,false
pln_0f3429cb59fecbf9342935885a80,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-25 13:29:04,plan.updated,2025-03-25 13:29:13.802505,Ultra Unlimited,p11,USD,1.000000000,,true,,true,,true,1,month,2025-03-25 13:29:13.802505,2025-03-25 13:29:13.82922,false
pln_0f3429cb59fecbf9342935885a80,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-25 13:29:04,plan.archived,2025-03-25 18:07:47.824119,Ultra Unlimited,p11,USD,1.000000000,,true,,true,,true,1,month,2025-03-25 18:07:47.824119,,true
pln_0f3429cb59fecbf9342935885a80,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-25 13:29:04,plan.published,2025-03-25 13:29:13.82922,Ultra Unlimited,p11,USD,1.000000000,,true,,true,,true,1,month,2025-03-25 13:29:13.82922,2025-03-25 18:07:47.793196,false
pln_0f3429cb59fecbf9342935885a80,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-25 13:29:04,plan.created,2025-03-25 13:29:04.185231,Ultra Unlimited,p11,USD,1.000000000,,true,,true,,true,1,month,2025-03-25 13:29:04,2025-03-25 13:29:05.280057,false
pln_0f3429cb59fecbf9342935885a80,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-25 13:29:04,plan.updated,2025-03-25 13:29:05.280057,Ultra Unlimited,p11,USD,1.000000000,,true,,true,,true,1,month,2025-03-25 13:29:05.280057,2025-03-25 13:29:13.802505,false
pln_b1170dae96ca15ed5587496d7f9e,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-25 18:07:47,plan.updated,2025-03-25 18:07:48.557014,Ultra Unlimited,p11,USD,1.000000000,,true,,true,,true,30,day,2025-03-25 18:07:48.557014,2025-03-25 18:07:53.247148,false
pln_b1170dae96ca15ed5587496d7f9e,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-25 18:07:47,plan.created,2025-03-25 18:07:47.690681,Ultra Unlimited,p11,USD,1.000000000,,true,,true,,true,30,day,2025-03-25 18:07:47,2025-03-25 18:07:48.557014,false
pln_b1170dae96ca15ed5587496d7f9e,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-25 18:07:47,plan.published,2025-03-25 18:07:53.276928,Ultra Unlimited,p11,USD,1.000000000,,true,,true,,true,30,day,2025-03-25 18:07:53.276928,2025-04-02 01:37:21.416716,false
pln_b1170dae96ca15ed5587496d7f9e,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-25 18:07:47,plan.updated,2025-03-25 18:07:53.247148,Ultra Unlimited,p11,USD,1.000000000,,true,,true,,true,30,day,2025-03-25 18:07:53.247148,2025-03-25 18:07:53.276928,false
pln_b1170dae96ca15ed5587496d7f9e,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-25 18:07:47,plan.archived,2025-04-02 01:37:21.442869,Ultra Unlimited,p11,USD,1.000000000,,true,,true,,true,30,day,2025-04-02 01:37:21.442869,,true
pln_b1170dae96ca15ed5587496d7f9e,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-25 18:07:47,plan.updated,2025-04-02 01:37:21.416716,Ultra Unlimited,p11,USD,1.000000000,,true,,true,,true,30,day,2025-04-02 01:37:21.416716,2025-04-02 01:37:21.442869,false
pln_be484393f3f4236b0d97a8e08cc6,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-04-02 01:37:20,plan.archived,2025-04-21 16:05:02.20208,Ultra Unlimited,p11,USD,35.000000000,,true,,true,,true,30,day,2025-04-21 16:05:02.20208,,true
pln_be484393f3f4236b0d97a8e08cc6,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-04-02 01:37:20,plan.updated,2025-04-21 14:47:44.059217,Ultra Unlimited,p11,USD,35.000000000,,true,,true,,true,30,day,2025-04-21 14:47:44.059217,2025-04-21 16:05:02.178924,false
pln_be484393f3f4236b0d97a8e08cc6,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-04-02 01:37:20,plan.updated,2025-04-02 01:37:21.33663,Ultra Unlimited,p11,USD,35.000000000,,true,,true,,true,30,day,2025-04-02 01:37:21.33663,2025-04-02 01:37:29.921344,false
